id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,CMA-1,CMA-2,CMA-3,CMA-4,CMA-5,TMA-1,TMA-2,TMA-3,TMA-4,TMA-5,TMA-6
120994,F,London Region,Lower Than A Level,30-40%,35-55,0,70,Y,Fail,100.0,100.0,100.0,60.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0
122524,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123379,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123860,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,100.0,60.0,100.0,80.0,80.0,60.0,75.0,77.0,65.0,75.0,85.0
126322,F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass,80.0,100.0,100.0,80.0,0.0,65.0,0.0,78.0,86.0,0.0,0.0
126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127209,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128776,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133155,F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass,100.0,100.0,100.0,100.0,100.0,87.0,85.0,90.0,83.0,90.0,88.0
133531,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133748,F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail,100.0,100.0,0.0,0.0,0.0,74.0,61.0,65.0,56.0,0.0,0.0
141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,100.0,100.0,80.0,0.0,0.0,70.0,71.0,68.0,55.0,0.0,0.0
143741,F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction,100.0,100.0,100.0,80.0,100.0,74.0,70.0,75.0,75.0,78.0,95.0
143854,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145544,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,100.0,100.0,100.0,100.0,100.0,77.0,82.0,78.0,66.0,74.0,69.0
147876,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,100.0,100.0,80.0,0.0,0.0,84.0,58.0,58.0,70.0,0.0,0.0
151697,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,100.0,100.0,100.0,100.0,100.0,86.0,81.0,74.0,79.0,80.0,80.0
152153,F,East Anglian Region,Lower Than A Level,40-50%,0-35,1,60,N,Withdrawn,100.0,40.0,80.0,0.0,0.0,67.0,10.0,56.0,13.0,0.0,0.0
152910,M,West Midlands Region,A Level or Equivalent,?,0-35,0,60,N,Pass,100.0,100.0,80.0,80.0,0.0,72.0,74.0,76.0,80.0,78.0,0.0
152929,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,100.0,100.0,80.0,0.0,100.0,73.0,68.0,56.0,65.0,0.0,82.0
153212,F,South West Region,Lower Than A Level,40-50%,35-55,1,120,N,Distinction,100.0,100.0,100.0,60.0,80.0,90.0,73.0,73.0,81.0,76.0,86.0
153704,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,120,N,Withdrawn,100.0,100.0,80.0,0.0,0.0,83.0,84.0,74.0,0.0,0.0,0.0
154027,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,80.0,80.0,60.0,80.0,100.0,76.0,81.0,50.0,66.0,60.0,0.0
154125,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,100.0,100.0,80.0,100.0,0.0,79.0,80.0,80.0,86.0,83.0,0.0
154540,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,80.0,100.0,80.0,80.0,60.0,83.0,75.0,76.0,78.0,82.0,77.0
155735,F,West Midlands Region,Lower Than A Level,0-10%,0-35,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156835,F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,80.0,100.0,100.0,100.0,80.0,80.0,83.0,80.0,83.0,83.0,0.0
161678,F,North Western Region,Lower Than A Level,0-10%,0-35,1,60,N,Fail,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
165243,M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,100.0,80.0,100.0,100.0,100.0,80.0,68.0,60.0,67.0,66.0,0.0
169515,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,70.0,48.0,0.0,0.0,0.0,0.0
170356,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
171377,F,West Midlands Region,Lower Than A Level,60-70%,0-35,2,120,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173316,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,100.0,0.0,60.0,0.0,60.0,60.0,46.0,44.0,0.0,40.0,0.0
173335,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,N,Fail,100.0,100.0,80.0,100.0,0.0,73.0,60.0,71.0,77.0,35.0,0.0
174321,F,Ireland,A Level or Equivalent,80-90%,0-35,1,270,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177639,F,Wales,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179605,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,100.0,0.0,0.0,0.0,0.0,60.0,66.0,0.0,0.0,0.0,0.0
182824,F,East Anglian Region,Lower Than A Level,0-10%,35-55,2,120,N,Pass,80.0,100.0,100.0,100.0,100.0,71.0,75.0,70.0,70.0,73.0,75.0
183806,F,South West Region,A Level or Equivalent,80-90%,35-55,1,225,Y,Fail,100.0,0.0,100.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
185240,F,West Midlands Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185349,F,Scotland,Lower Than A Level,30-40%,35-55,2,60,N,Pass,100.0,80.0,100.0,100.0,80.0,79.0,82.0,78.0,77.0,75.0,74.0
186670,F,Yorkshire Region,HE Qualification,40-50%,35-55,1,60,N,Fail,40.0,0.0,80.0,0.0,100.0,60.0,81.0,73.0,75.0,72.0,0.0
186780,F,North Western Region,A Level or Equivalent,10-20,35-55,2,120,Y,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186988,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,2,60,N,Fail,100.0,0.0,100.0,80.0,100.0,53.0,30.0,56.0,50.0,0.0,0.0
187793,F,North Western Region,Lower Than A Level,10-20,35-55,1,120,Y,Fail,80.0,80.0,80.0,80.0,60.0,50.0,67.0,58.0,62.0,0.0,61.0
188152,M,South East Region,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,100.0,100.0,80.0,80.0,60.0,87.0,95.0,93.0,90.0,88.0,90.0
192424,M,Wales,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,100.0,100.0,100.0,100.0,100.0,80.0,78.0,73.0,79.0,65.0,72.0
193822,F,Wales,Lower Than A Level,10-20,35-55,0,60,Y,Pass,100.0,100.0,80.0,100.0,100.0,70.0,77.0,80.0,85.0,75.0,0.0
197595,F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass,80.0,100.0,80.0,80.0,60.0,75.0,75.0,72.0,80.0,75.0,73.0
198956,M,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,100.0,100.0,80.0,100.0,100.0,89.0,95.0,87.0,0.0,85.0,75.0
199520,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,100.0,80.0,60.0,100.0,100.0,75.0,74.0,83.0,83.0,82.0,79.0
200863,F,South West Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200905,F,London Region,HE Qualification,0-10%,0-35,1,60,N,Fail,100.0,80.0,80.0,60.0,40.0,66.0,50.0,66.0,35.0,40.0,29.0
203108,F,South West Region,A Level or Equivalent,60-70%,0-35,1,120,N,Fail,100.0,100.0,0.0,0.0,0.0,85.0,61.0,72.0,0.0,0.0,0.0
203481,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,100.0,60.0,100.0,100.0,80.0,79.0,75.0,63.0,72.0,69.0,65.0
203652,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,180,Y,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204746,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Distinction,100.0,80.0,100.0,100.0,80.0,78.0,64.0,75.0,65.0,73.0,72.0
205231,F,Scotland,Lower Than A Level,10-20,35-55,1,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,M,Wales,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,100.0,100.0,80.0,100.0,80.0,78.0,72.0,62.0,0.0,73.0,71.0
226827,F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,100.0,80.0,100.0,100.0,100.0,81.0,83.0,82.0,84.0,85.0,83.0
228049,F,South Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228235,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229240,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,100.0,60.0,80.0,80.0,40.0,69.0,62.0,60.0,78.0,75.0,85.0
229426,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction,100.0,100.0,60.0,100.0,0.0,75.0,85.0,90.0,83.0,75.0,85.0
230348,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,2,585,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232600,F,North Western Region,Lower Than A Level,10-20,0-35,2,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232695,F,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Pass,100.0,100.0,100.0,100.0,80.0,75.0,72.0,68.0,79.0,78.0,72.0
232745,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,180,Y,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235097,F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,Y,Fail,80.0,80.0,60.0,0.0,0.0,61.0,72.0,0.0,0.0,0.0,0.0
237304,M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,100.0,0.0,100.0,100.0,0.0,45.0,69.0,81.0,0.0,0.0,0.0
237913,F,North Western Region,A Level or Equivalent,20-30%,0-35,1,60,N,Fail,100.0,60.0,100.0,0.0,0.0,88.0,81.0,73.0,0.0,0.0,0.0
242149,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Withdrawn,60.0,80.0,0.0,0.0,0.0,75.0,54.0,0.0,0.0,0.0,0.0
245404,F,North Western Region,Lower Than A Level,10-20,35-55,1,60,N,Fail,100.0,0.0,0.0,0.0,0.0,86.0,65.0,0.0,0.0,0.0,0.0
247267,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,80.0,80.0,100.0,100.0,100.0,85.0,84.0,88.0,0.0,0.0,13.0
248103,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,100.0,80.0,80.0,80.0,100.0,77.0,78.0,78.0,75.0,77.0,79.0
249534,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,80.0,100.0,60.0,60.0,60.0,59.0,73.0,71.0,82.0,70.0,73.0
251351,F,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Pass,100.0,100.0,0.0,100.0,80.0,82.0,83.0,85.0,84.0,78.0,0.0
252340,F,Scotland,A Level or Equivalent,80-90%,0-35,2,120,Y,Fail,80.0,100.0,0.0,0.0,0.0,78.0,78.0,74.0,0.0,0.0,0.0
252652,F,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253250,F,North Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255347,F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,100.0,100.0,100.0,100.0,100.0,80.0,90.0,90.0,87.0,90.0,0.0
255998,F,London Region,Lower Than A Level,50-60%,35-55,2,60,N,Pass,60.0,0.0,100.0,80.0,80.0,49.0,54.0,41.0,46.0,48.0,58.0
256215,F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,150,Y,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258402,F,South Region,A Level or Equivalent,40-50%,0-35,1,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259182,M,East Midlands Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262294,F,North Western Region,Lower Than A Level,0-10%,0-35,2,60,Y,Withdrawn,60.0,0.0,80.0,0.0,0.0,30.0,58.0,0.0,0.0,0.0,0.0
262454,F,South Region,A Level or Equivalent,40-50%,0-35,1,120,Y,Fail,100.0,100.0,60.0,0.0,60.0,70.0,63.0,61.0,66.0,0.0,61.0
262741,F,North Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,60.0,80.0,60.0,100.0,80.0,84.0,74.0,71.0,73.0,63.0,75.0
263499,F,Ireland,Lower Than A Level,40-50%,35-55,0,325,N,Pass,100.0,60.0,80.0,100.0,60.0,73.0,58.0,59.0,61.0,69.0,70.0
263531,F,South West Region,Lower Than A Level,30-40%,0-35,1,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265405,F,North Western Region,Lower Than A Level,80-90%,35-55,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265958,F,North Western Region,Lower Than A Level,10-20,0-35,2,120,N,Withdrawn,80.0,0.0,0.0,0.0,0.0,80.0,82.0,0.0,0.0,0.0,0.0
267761,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,N,Pass,100.0,80.0,80.0,80.0,100.0,80.0,82.0,0.0,73.0,75.0,13.0
267853,F,Ireland,Lower Than A Level,20-30%,35-55,0,120,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269076,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,1,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
269289,F,South Region,A Level or Equivalent,90-100%,0-35,2,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270399,F,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270567,F,North Region,A Level or Equivalent,20-30%,0-35,1,60,N,Pass,80.0,100.0,40.0,100.0,80.0,85.0,65.0,70.0,66.0,72.0,0.0
271036,F,Ireland,Lower Than A Level,80-90%,35-55,3,60,N,Pass,100.0,100.0,100.0,100.0,100.0,62.0,80.0,73.0,77.0,79.0,55.0
272580,F,South West Region,Lower Than A Level,30-40%,35-55,0,120,N,Pass,100.0,80.0,100.0,100.0,100.0,80.0,76.0,84.0,74.0,73.0,84.0
273731,F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,100.0,100.0,100.0,80.0,0.0,80.0,72.0,77.0,65.0,60.0,0.0
273877,M,London Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,100.0,80.0,100.0,60.0,60.0,58.0,0.0,40.0,50.0,47.0,63.0
276717,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,120,N,Distinction,100.0,100.0,100.0,60.0,80.0,90.0,78.0,88.0,87.0,85.0,74.0
277733,F,Scotland,HE Qualification,30-40%,0-35,1,60,Y,Pass,60.0,40.0,40.0,0.0,20.0,73.0,81.0,74.0,65.0,65.0,0.0
278447,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,100.0,100.0,80.0,100.0,100.0,82.0,87.0,81.0,75.0,83.0,75.0
280962,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,180,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281564,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Pass,100.0,100.0,60.0,60.0,80.0,60.0,62.0,67.0,56.0,79.0,58.0
284076,F,South Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,100.0,80.0,40.0,100.0,60.0,71.0,72.0,66.0,60.0,74.0,61.0
285633,F,West Midlands Region,HE Qualification,20-30%,0-35,1,120,Y,Fail,100.0,80.0,80.0,60.0,60.0,61.0,53.0,57.0,48.0,61.0,58.0
285912,F,Wales,HE Qualification,50-60%,35-55,0,90,N,Pass,80.0,100.0,60.0,80.0,100.0,83.0,55.0,84.0,72.0,80.0,79.0
